nodeType,longName,shortName
HALL,Hallway MapNode 2 Floor 1,Hall
HALL,Hallway MapNode 3 Floor 1,Hall
HALL,Hallway MapNode 6 Floor 1,Hall
HALL,Hallway MapNode 7 Floor 1,Hall
HALL,Hallway MapNode 8 Floor 1,Hall
HALL,Hallway MapNode 9 Floor 1,Hall
HALL,Hallway MapNode 10 Floor 1,Hall
HALL,Hallway MapNode 14 Floor 1,Hall
HALL,Hallway MapNode 15 Floor 1,Hall
HALL,Hallway MapNode 16 Floor 1,Hall
HALL,Hallway MapNode 17 Floor 1,Hall
HALL,Hallway MapNode 21 Floor 1,Hall
HALL,Hallway MapNode 22 Floor 1,Hall
HALL,Hallway MapNode 24 Floor 1,Hall
HALL,Hallway MapNode 28 Floor 1,Hall
HALL,Hallway MapNode 29 Floor 1,Hall
HALL,Hallway MapNode 30 Floor 1,Hall
HALL,Hallway MapNode 31 Floor 1,Hall
HALL,Hallway MapNode 33 Floor 1,Hall
HALL,Hallway MapNode 34 Floor 1,Hall
HALL,Hall Node 1 Floor 2,Hall
HALL,Hall Node 2 Floor 2,Hall
HALL,Hall Node 3 Floor 2,Hall
HALL,Hall Node 4 Floor 2,Hall
HALL,Hall Node 5 Floor 2,Hall
HALL,Hall Node 10 Floor 2,Hall
HALL,Hall Node 11 Floor 2,Hall
HALL,Hall Node 12 Floor 2,Hall
HALL,Hall Node 13 Floor 2,Hall
HALL,Hall Node 14 Floor 2,Hall
HALL,Hall Node 15 Floor 2,Hall
HALL,Hall Node 16 Floor 2,Hall
HALL,Hall Node 17 (Exit?) Floor 2,Hall
HALL,Hall Node 18 Floor 2,Hall
HALL,Hall Node 20 Floor 2,Hall
HALL,Hall Node 21 Floor 2,Hall
HALL,Hall Node 22 Floor 2,Hall
HALL,Hall Node 23 Floor 2,Hall
HALL,Hall Node 27 Floor 2,Hall
HALL,Hall Node 29 Floor 2,Hall
HALL,Hall Node 30 Floor 2,Hall
HALL,Hall Node 32 Floor 2,Hall
HALL,Hall Node 33 Floor 2,Hall
HALL,Hall Node 34 Floor 2,Hall
HALL,Hall Node 36 Floor 2,Hall
HALL,Hall Node 37 Floor 2,Hall
HALL,Hall Node 38 Floor 2,Hall
HALL,Hallway Node 1 Floor 3,Hall
HALL,Hallway Node 2 Floor 3,Hall
HALL,Hallway Node 3 Floor 3,Hall
HALL,Hallway Node 6 Floor 3,Hall
HALL,Hallway Node 7 Floor 3,Hall
HALL,Hallway Node 8 Floor 3,Hall
HALL,Hallway Node 10 Floor 3,Hall
HALL,Hallway Node 11 Floor 3,Hall
HALL,Hallway Node 13 Floor 3,Hall
HALL,Hallway MapNode 2 Floor L1,Hall
HALL,Hallway MapNode 3 Floor L1,Hall
HALL,Hallway MapNode 4 Floor L1,Hall
HALL,Hallway MapNode 5 Floor L1,Hall
HALL,Hallway MapNode 6 Floor L1,Hall
HALL,Hallway MapNode 1 Floor L2,Hall
HALL,Hallway MapNode 5 Floor L2,Hall
HALL,Hallway MapNode 7 Floor L2,Hall
HALL,Hallway MapNode 8 Floor L2,Hall
HALL,Hallway MapNode 9 Floor L2,Hall
HALL,Hallway MapNode 10 Floor L2,Hall
HALL,Hallway MapNode 11 Floor L2,Hall
HALL,Hallway MapNode 12 Floor L2,Hall
HALL,Hallway MapNode 13 Floor L2,Hall
HALL,Hallway MapNode 16 Floor L2,Hall
HALL,Hallway MapNode 17 Floor L2,Hall
HALL,Hallway Node 1 Floor 1,Hall 01
HALL,Hallway Node 2 Floor 1,HallE02
HALL,Hallway Node 3 Floor 1,HallE03
HALL,Hallway Node 4 Floor 1,HallE04
HALL,Hallway Node 5 Floor 1,HallE05
HALL,Hallway Node 6 Floor 1,HallE06
HALL,Hallway Node 7 Floor 1,HallE07
HALL,Hallway Node 8 Floor 1,HallE08
HALL,Hallway Node 9 Floor 1,HallE09
HALL,Hallway Node 10 Floor 1,HallE10
HALL,Hallway Node 11 Floor 1,HallE11
HALL,Hallway Node 12 Floor 1,HallE12
HALL,Hallway Node 13 Floor 1,HallE13
HALL,Hallway Node 14 Floor 1,HallE14
HALL,Hallway Node 15 Floor 1,HallE15
HALL,Hallway Node 16 Floor 1,HallE16
HALL,Hallway Node 17 Floor 1,HallE17
HALL,Hallway Node 18 Floor 1,HallE18
HALL,Hallway Node 19 Floor 1,HallE19
HALL,Hallway Node 20 Floor 1,HallE20
HALL,Hallway Node 21 Floor 1,HallE21
HALL,Hallway Node 22 Floor 1,HallE22
HALL,Hallway Node 23 Floor 1,HallE23
HALL,Hallway Node 24 Floor 1,HallE24
HALL,Hallway Node 25 Floor 1,HallE25
HALL,Hallway Node 26 Floor 1,HallE26
HALL,Hallway Node 27 Floor 1,HallE27
HALL,Hallway Node 28 Floor 1,HallE28
HALL,Hallway Node 29 Floor 1,HallE29
HALL,Hallway Node 30 Floor 1,HallE30
HALL,Hallway Node 31 Floor 1,HallE31
HALL,Hallway Node 32 Floor 1,HallE32
HALL,Hallway Node 33 Floor 1,HallE33
HALL,Hallway Node 34 Floor 1,HallE34
HALL,HallNode,HallNode
HALL,Hallway Intersection 1 Level 2,Hallway B0102
HALL,Hallway Intersection 2 Level 2,Hallway B0202
HALL,Hallway Intersection 3 Level 2,Hallway B0302
HALL,Hallway Intersection 4 Level 2,Hallway B0402
HALL,Hallway Intersection 41 Level 2,Hallway B04102
HALL,Hallway Intersection 42 Level 2,Hallway B04202
HALL,Hallway Intersection 43 level 2,Hallway B04302
HALL,Hallway Intersection 5 Level 2,Hallway B0502
HALL,Hallway Intersection 6 Level 2,Hallway B0602
HALL,Hallway Intersection 7 Level 2,Hallway B0702
HALL,Hallway Intersection 8 Level 2,Hallway B0802
HALL,Hallway Intersection 9 Level 2,Hallway B0902
HALL,Hallway Intersection 10 Level 2,Hallway B1002
HALL,Hallway Intersection 11 Level 2,Hallway B1102
HALL,Hallway Intersection 12 Level 2,Hallway B1202
HALL,Hallway Intersection 13 Level 2,Hallway B1302
HALL,Hallway Intersection 14 Level 2,Hallway B1402
HALL,Hallway Intersection 15 Level 2,Hallway B1502
HALL,Hallway Intersection 16 Level 2,Hallway B1602
HALL,Hallway Intersection 17 Level 2,Hallway B1702
HALL,Hallway Intersection 18 Level 2,Hallway B1802
HALL,Hallway Intersection 19 Level 2,Hallway B1902
HALL,Hallway Intersection 20 Level 2,Hallway B2002
HALL,Hallway Intersection 21 Level 2,Hallway B2102
HALL,Hallway Intersection 22 Level 2,Hallway B2202
HALL,Hallway Intersection 23 Level 2,Hallway B2302
HALL,Hallway Intersection 25 Level 2,Hallway B2502
HALL,Hallway Intersection 26 Level 2,Hallway B2602
HALL,Hallway Intersection 27 Level 2,Hallway B2702
HALL,Hallway Intersection 28 Level 2,Hallway B2802
HALL,Hallway Intersection 29 Level 2,Hallway B2902
HALL,Hallway Intersection 30 Level 2,Hallway B3002
HALL,Hallway Intersection 31 Level 2,Hallway B3102
HALL,Hallway Intersection 32 Level 2,Hallway B3202
HALL,Hallway Intersection 33 Level 2,Hallway B3302
HALL,Hallway Intersection 34 Level 2,Hallway B3402
HALL,Hallway Intersection 35 Level 2,Hallway B3502
HALL,Hallway Intersection 36 Level 2,Hallway B3602
HALL,Hallway Intersection 37 Level 2,Hallway B3702
HALL,Hallway Intersection 38 Level 2,Hallway B3802
HALL,Hallway Intersection 44 Level 2,Hallway B4402
HALL,Hallway 1 Floor L1,Hallway C001L1
HALL,Hallway K Elevator Floor L2,Hallway C001L2
HALL,Hallway 2 Floor L1,Hallway C002L1
HALL,Hallway 2 Floor L2,Hallway C002L2
HALL,Hallway 3 Floor L1,Hallway C003L1
HALL,Hallway 3 Floor L2,Hallway C003L2
HALL,Hallway 4 Floor L1,Hallway C004L1
HALL,Hallway 4 Floor L2,Hallway C004L2
HALL,Hallway 5 Floor L1,Hallway C005L1
HALL,Hallway 5 Floor L2,Hallway C005L2
HALL,Hallway 6 Floor L1,Hallway C006L1
HALL,Hallway 6 Floor L2,Hallway C006L2
HALL,Hallway 7 Floor L1,Hallway C007L1
HALL,Hallway 7 Floor L2,Hallway C007L2
HALL,Hallway 8 Floor L1,Hallway C008L1
HALL,Hallway 8 Floor L2,Hallway C008L2
HALL,Hallway 9 Floor L1,Hallway C009L1
HALL,Hallway 9 Floor L2,Hallway C009L2
HALL,Hallway 10 Floor L1,Hallway C010L1
HALL,Hallway 10 Floor L2,Hallway C010L2
HALL,Hallway 11 Floor L1,Hallway C011L1
HALL,Hallway 12 Floor L1,Hallway C012L1
HALL,Hallway 13 Floor L1,Hallway C013L1
HALL,Hallway 14 Floor L1,Hallway C014L1
HALL,Hallway 15 Floor L1,Hallway C015L1
HALL,Hallway 1 Floor 2,Hallway D0102
HALL,Hallway 2 Floor 2,Hallway D0202
HALL,Hallway 3 Floor 2,Hallway D0302
HALL,Hallway 4 Floor 2,Hallway D0402
HALL,Hallway 5 Floor 2,Hallway D0502
HALL,Hallway 6 Floor 2,Hallway D0602
HALL,Hallway 7 Floor 2,Hallway D0702
HALL,Hallway 8 Floor 2,Hallway D0802
HALL,Hallway 9 Floor 2,Hallway D0902
HALL,Hallway 10 Floor 2,Hallway D1002
HALL,Hallway 11 Floor 3,Hallway D1102
HALL,Hallway 12 Floor 3,Hallway D1202
HALL,Hallway 13 Floor 3,Hallway D1302
HALL,Hallway 14 Floor 3,Hallway D1402
HALL,Hallway 15 Floor 3,Hallway D1502
HALL,Hallway 16 Floor 3,Hallway D1602
HALL,Hallway 17 Floor 3,Hallway D1702
HALL,Hallway 18 Floor 3,Hallway D1802
HALL,Hallway 19 Floor 3,Hallway D1902
HALL,Hallway 20 Floor 3,Hallway D2002
HALL,Hallway 21 Floor 4,Hallway D2102
HALL,Hallway 22 Floor 4,Hallway D2202
HALL,Hallway 23 Floor 4,Hallway D2302
HALL,Hallway 24 Floor 4,Hallway D2402
HALL,Hallway 25 Floor 4,Hallway D2502
HALL,Hallway 26 Floor 4,Hallway D2602
HALL,Hallway 27 Floor 4,Hallway D2702
HALL,Hallway 28 Floor 4,Hallway D2802
HALL,Hallway 29 Floor 4,Hallway D2902
HALL,Hallway 30 Floor 4,Hallway D3002
HALL,Hallway 31 Floor 5,Hallway D3102
HALL,Hallway 32 Floor 5,Hallway D3202
HALL,Hallway 33 Floor 5,Hallway D3302
HALL,Hallway 34 Floor 5,Hallway D3402
HALL,Hallway 35 Floor 5,Hallway D3502
HALL,Hallway 36 Floor 5,Hallway D3602
HALL,Hallway 37 Floor 5,Hallway D3702
HALL,Hallway 38 Floor 5,Hallway D3802
HALL,Hallway 39 Floor 5,Hallway D3902
HALL,Hallway 40 Floor 5,Hallway D4002
HALL,Hallway 41 Floor 6,Hallway D4102
HALL,Hallway 42 Floor 6,Hallway D4202
HALL,Hallway 43 Floor 6,Hallway D4302
HALL,Hallway 44 Floor 6,Hallway D4402
HALL,Hallway 45 Floor 6,Hallway D4502
HALL,Hallway 46 Floor 6,Hallway D4602
HALL,Hallway 47 Floor 6,Hallway D4702
HALL,Hallway 48 Floor 2,Hallway D4802
HALL,Hallway 49 Floor 2,Hallway D4902
HALL,Hallway 50 Floor 2,Hallway D5002
HALL,Hallway 51 Floor 2,Hallway D5102
HALL,Hallway 52 Floor 2,Hallway D5202
HALL,Hallway 53 Floor 2,Hallway D5302
HALL,Hallway 54 Floor 2,Hallway D5402
HALL,Hallway 55 Floor 2,Hallway D5502
HALL,Hallway 56 Floor 2,Hallway D5602
HALL,Hallway 57 Floor 2,Hallway D5702
HALL,Hallway 58 Floor 2,Hallway D5802
HALL,Lower Pike Hallway Exit Lobby,Hallway F00101
HALL,Lobby Shattuck Street,Hallway F00201
HALL,Shattuck Street Lobby 1,Hallway F00301
HALL,Shattuck Street Lobby 2,Hallway F00401
HALL,Shattuck Street Lobby 3,Hallway F00501
HALL,Tower Elevator Entrance,Hallway F00701
HALL,Tower Hallway 1,Hallway F00801
HALL,Tower Hallway 2,Hallway F00901
HALL,Tower Hallway 3,Hallway F01001
HALL,Tower Hallway 4,Hallway F01101
HALL,Tower Staff Entrance,Hallway F01201
HALL,Tower Hallway 5,Hallway F01301
HALL,Tower Hallway 6,Hallway F01401
HALL,Tower Hallway 7,Hallway F01501
HALL,Tower Hallway 8,Hallway F01601
HALL,Tower Hallway 9,Hallway F01701
HALL,Tower Hallway 10,Hallway F01801
HALL,Tower Hallway 11,Hallway F01901
HALL,Tower Hallway 12,Hallway F02001
HALL,Lobby Hallway 1,Hallway F02301
HALL,Lobby Hallway 2,Hallway F02401
