longname, locationtype, shortname
Hallway MapNode 2 Floor 1,HALL,Hall
Hallway MapNode 3 Floor 1,HALL,Hall
Hallway MapNode 6 Floor 1,HALL,Hall
Hallway MapNode 7 Floor 1,HALL,Hall
Hallway MapNode 8 Floor 1,HALL,Hall
Hallway MapNode 9 Floor 1,HALL,Hall
Hallway MapNode 10 Floor 1,HALL,Hall
Hallway MapNode 14 Floor 1,HALL,Hall
Hallway MapNode 15 Floor 1,HALL,Hall
Hallway MapNode 16 Floor 1,HALL,Hall
Hallway MapNode 17 Floor 1,HALL,Hall
Hallway MapNode 21 Floor 1,HALL,Hall
Hallway MapNode 22 Floor 1,HALL,Hall
Hallway MapNode 24 Floor 1,HALL,Hall
Hallway MapNode 28 Floor 1,HALL,Hall
Hallway MapNode 29 Floor 1,HALL,Hall
Hallway MapNode 30 Floor 1,HALL,Hall
Hallway MapNode 31 Floor 1,HALL,Hall
Hallway MapNode 33 Floor 1,HALL,Hall
Hallway MapNode 34 Floor 1,HALL,Hall
Hall Node 1 Floor 2,HALL,Hall
Hall Node 2 Floor 2,HALL,Hall
Hall Node 3 Floor 2,HALL,Hall
Hall Node 4 Floor 2,HALL,Hall
Hall Node 5 Floor 2,HALL,Hall
Hall Node 10 Floor 2,HALL,Hall
Hall Node 11 Floor 2,HALL,Hall
Hall Node 12 Floor 2,HALL,Hall
Hall Node 13 Floor 2,HALL,Hall
Hall Node 14 Floor 2,HALL,Hall
Hall Node 15 Floor 2,HALL,Hall
Hall Node 16 Floor 2,HALL,Hall
Hall Node 17 (Exit?) Floor 2,HALL,Hall
Hall Node 18 Floor 2,HALL,Hall
Hall Node 20 Floor 2,HALL,Hall
Hall Node 21 Floor 2,HALL,Hall
Hall Node 22 Floor 2,HALL,Hall
Hall Node 23 Floor 2,HALL,Hall
Hall Node 27 Floor 2,HALL,Hall
Hall Node 29 Floor 2,HALL,Hall
Hall Node 30 Floor 2,HALL,Hall
Hall Node 32 Floor 2,HALL,Hall
Hall Node 33 Floor 2,HALL,Hall
Hall Node 34 Floor 2,HALL,Hall
Hall Node 36 Floor 2,HALL,Hall
Hall Node 37 Floor 2,HALL,Hall
Hall Node 38 Floor 2,HALL,Hall
Hallway Node 1 Floor 3,HALL,Hall
Hallway Node 2 Floor 3,HALL,Hall
Hallway Node 3 Floor 3,HALL,Hall
Hallway Node 6 Floor 3,HALL,Hall
Hallway Node 7 Floor 3,HALL,Hall
Hallway Node 8 Floor 3,HALL,Hall
Hallway Node 10 Floor 3,HALL,Hall
Hallway Node 11 Floor 3,HALL,Hall
Hallway Node 13 Floor 3,HALL,Hall
Hallway MapNode 2 Floor L1,HALL,Hall
Hallway MapNode 3 Floor L1,HALL,Hall
Hallway MapNode 4 Floor L1,HALL,Hall
Hallway MapNode 5 Floor L1,HALL,Hall
Hallway MapNode 6 Floor L1,HALL,Hall
Hallway MapNode 1 Floor L2,HALL,Hall
Hallway MapNode 5 Floor L2,HALL,Hall
Hallway MapNode 7 Floor L2,HALL,Hall
Hallway MapNode 8 Floor L2,HALL,Hall
Hallway MapNode 9 Floor L2,HALL,Hall
Hallway MapNode 10 Floor L2,HALL,Hall
Hallway MapNode 11 Floor L2,HALL,Hall
Hallway MapNode 12 Floor L2,HALL,Hall
Hallway MapNode 13 Floor L2,HALL,Hall
Hallway MapNode 16 Floor L2,HALL,Hall
Hallway MapNode 17 Floor L2,HALL,Hall
Hallway Node 1 Floor 1,HALL,Hall 01
Hallway Node 2 Floor 1,HALL,HallE02
Hallway Node 3 Floor 1,HALL,HallE03
Hallway Node 4 Floor 1,HALL,HallE04
Hallway Node 5 Floor 1,HALL,HallE05
Hallway Node 6 Floor 1,HALL,HallE06
Hallway Node 7 Floor 1,HALL,HallE07
Hallway Node 8 Floor 1,HALL,HallE08
Hallway Node 9 Floor 1,HALL,HallE09
Hallway Node 10 Floor 1,HALL,HallE10
Hallway Node 11 Floor 1,HALL,HallE11
Hallway Node 12 Floor 1,HALL,HallE12
Hallway Node 13 Floor 1,HALL,HallE13
Hallway Node 14 Floor 1,HALL,HallE14
Hallway Node 15 Floor 1,HALL,HallE15
Hallway Node 16 Floor 1,HALL,HallE16
Hallway Node 17 Floor 1,HALL,HallE17
Hallway Node 18 Floor 1,HALL,HallE18
Hallway Node 19 Floor 1,HALL,HallE19
Hallway Node 20 Floor 1,HALL,HallE20
Hallway Node 21 Floor 1,HALL,HallE21
Hallway Node 22 Floor 1,HALL,HallE22
Hallway Node 23 Floor 1,HALL,HallE23
Hallway Node 24 Floor 1,HALL,HallE24
Hallway Node 25 Floor 1,HALL,HallE25
Hallway Node 26 Floor 1,HALL,HallE26
Hallway Node 27 Floor 1,HALL,HallE27
Hallway Node 28 Floor 1,HALL,HallE28
Hallway Node 29 Floor 1,HALL,HallE29
Hallway Node 30 Floor 1,HALL,HallE30
Hallway Node 31 Floor 1,HALL,HallE31
Hallway Node 32 Floor 1,HALL,HallE32
Hallway Node 33 Floor 1,HALL,HallE33
Hallway Node 34 Floor 1,HALL,HallE34
HallNode,HALL,HallNode
Hallway Intersection 1 Level 2,HALL,Hallway B0102
Hallway Intersection 2 Level 2,HALL,Hallway B0202
Hallway Intersection 3 Level 2,HALL,Hallway B0302
Hallway Intersection 4 Level 2,HALL,Hallway B0402
Hallway Intersection 41 Level 2,HALL,Hallway B04102
Hallway Intersection 42 Level 2,HALL,Hallway B04202
Hallway Intersection 43 level 2,HALL,Hallway B04302
Hallway Intersection 5 Level 2,HALL,Hallway B0502
Hallway Intersection 6 Level 2,HALL,Hallway B0602
Hallway Intersection 7 Level 2,HALL,Hallway B0702
Hallway Intersection 8 Level 2,HALL,Hallway B0802
Hallway Intersection 9 Level 2,HALL,Hallway B0902
Hallway Intersection 10 Level 2,HALL,Hallway B1002
Hallway Intersection 11 Level 2,HALL,Hallway B1102
Hallway Intersection 12 Level 2,HALL,Hallway B1202
Hallway Intersection 13 Level 2,HALL,Hallway B1302
Hallway Intersection 14 Level 2,HALL,Hallway B1402
Hallway Intersection 15 Level 2,HALL,Hallway B1502
Hallway Intersection 16 Level 2,HALL,Hallway B1602
Hallway Intersection 17 Level 2,HALL,Hallway B1702
Hallway Intersection 18 Level 2,HALL,Hallway B1802
Hallway Intersection 19 Level 2,HALL,Hallway B1902
Hallway Intersection 20 Level 2,HALL,Hallway B2002
Hallway Intersection 21 Level 2,HALL,Hallway B2102
Hallway Intersection 22 Level 2,HALL,Hallway B2202
Hallway Intersection 23 Level 2,HALL,Hallway B2302
Hallway Intersection 25 Level 2,HALL,Hallway B2502
Hallway Intersection 26 Level 2,HALL,Hallway B2602
Hallway Intersection 27 Level 2,HALL,Hallway B2702
Hallway Intersection 28 Level 2,HALL,Hallway B2802
Hallway Intersection 29 Level 2,HALL,Hallway B2902
Hallway Intersection 30 Level 2,HALL,Hallway B3002
Hallway Intersection 31 Level 2,HALL,Hallway B3102
Hallway Intersection 32 Level 2,HALL,Hallway B3202
Hallway Intersection 33 Level 2,HALL,Hallway B3302
Hallway Intersection 34 Level 2,HALL,Hallway B3402
Hallway Intersection 35 Level 2,HALL,Hallway B3502
Hallway Intersection 36 Level 2,HALL,Hallway B3602
Hallway Intersection 37 Level 2,HALL,Hallway B3702
Hallway Intersection 38 Level 2,HALL,Hallway B3802
Hallway Intersection 44 Level 2,HALL,Hallway B4402
Hallway 1 Floor L1,HALL,Hallway C001L1
Hallway K Elevator Floor L2,HALL,Hallway C001L2
Hallway 2 Floor L1,HALL,Hallway C002L1
Hallway 2 Floor L2,HALL,Hallway C002L2
Hallway 3 Floor L1,HALL,Hallway C003L1
Hallway 3 Floor L2,HALL,Hallway C003L2
Hallway 4 Floor L1,HALL,Hallway C004L1
Hallway 4 Floor L2,HALL,Hallway C004L2
Hallway 5 Floor L1,HALL,Hallway C005L1
Hallway 5 Floor L2,HALL,Hallway C005L2
Hallway 6 Floor L1,HALL,Hallway C006L1
Hallway 6 Floor L2,HALL,Hallway C006L2
Hallway 7 Floor L1,HALL,Hallway C007L1
Hallway 7 Floor L2,HALL,Hallway C007L2
Hallway 8 Floor L1,HALL,Hallway C008L1
Hallway 8 Floor L2,HALL,Hallway C008L2
Hallway 9 Floor L1,HALL,Hallway C009L1
Hallway 9 Floor L2,HALL,Hallway C009L2
Hallway 10 Floor L1,HALL,Hallway C010L1
Hallway 10 Floor L2,HALL,Hallway C010L2
Hallway 11 Floor L1,HALL,Hallway C011L1
Hallway 12 Floor L1,HALL,Hallway C012L1
Hallway 13 Floor L1,HALL,Hallway C013L1
Hallway 14 Floor L1,HALL,Hallway C014L1
Hallway 15 Floor L1,HALL,Hallway C015L1
Hallway 1 Floor 2,HALL,Hallway D0102
Hallway 2 Floor 2,HALL,Hallway D0202
Hallway 3 Floor 2,HALL,Hallway D0302
Hallway 4 Floor 2,HALL,Hallway D0402
Hallway 5 Floor 2,HALL,Hallway D0502
Hallway 6 Floor 2,HALL,Hallway D0602
Hallway 7 Floor 2,HALL,Hallway D0702
Hallway 8 Floor 2,HALL,Hallway D0802
Hallway 9 Floor 2,HALL,Hallway D0902
Hallway 10 Floor 2,HALL,Hallway D1002
Hallway 11 Floor 3,HALL,Hallway D1102
Hallway 12 Floor 3,HALL,Hallway D1202
Hallway 13 Floor 3,HALL,Hallway D1302
Hallway 14 Floor 3,HALL,Hallway D1402
Hallway 15 Floor 3,HALL,Hallway D1502
Hallway 16 Floor 3,HALL,Hallway D1602
Hallway 17 Floor 3,HALL,Hallway D1702
Hallway 18 Floor 3,HALL,Hallway D1802
Hallway 19 Floor 3,HALL,Hallway D1902
Hallway 20 Floor 3,HALL,Hallway D2002
Hallway 21 Floor 4,HALL,Hallway D2102
Hallway 22 Floor 4,HALL,Hallway D2202
Hallway 23 Floor 4,HALL,Hallway D2302
Hallway 24 Floor 4,HALL,Hallway D2402
Hallway 25 Floor 4,HALL,Hallway D2502
Hallway 26 Floor 4,HALL,Hallway D2602
Hallway 27 Floor 4,HALL,Hallway D2702
Hallway 28 Floor 4,HALL,Hallway D2802
Hallway 29 Floor 4,HALL,Hallway D2902
Hallway 30 Floor 4,HALL,Hallway D3002
Hallway 31 Floor 5,HALL,Hallway D3102
Hallway 32 Floor 5,HALL,Hallway D3202
Hallway 33 Floor 5,HALL,Hallway D3302
Hallway 34 Floor 5,HALL,Hallway D3402
Hallway 35 Floor 5,HALL,Hallway D3502
Hallway 36 Floor 5,HALL,Hallway D3602
Hallway 37 Floor 5,HALL,Hallway D3702
Hallway 38 Floor 5,HALL,Hallway D3802
Hallway 39 Floor 5,HALL,Hallway D3902
Hallway 40 Floor 5,HALL,Hallway D4002
Hallway 41 Floor 6,HALL,Hallway D4102
Hallway 42 Floor 6,HALL,Hallway D4202
Hallway 43 Floor 6,HALL,Hallway D4302
Hallway 44 Floor 6,HALL,Hallway D4402
Hallway 45 Floor 6,HALL,Hallway D4502
Hallway 46 Floor 6,HALL,Hallway D4602
Hallway 47 Floor 6,HALL,Hallway D4702
